x-axis,F1
second,Volt
-15.00900E-06,
-14.98400E-06,+574.71926221E-03
-14.95900E-06,+573.46558667E-03
-14.93400E-06,+570.89622481E-03
-14.90900E-06,+570.04199863E-03
-14.88400E-06,+568.07046198E-03
-14.85900E-06,+567.90641326E-03
-14.83400E-06,+566.46886524E-03
-14.80900E-06,+565.03131722E-03
-14.78400E-06,+565.15626922E-03
-14.75900E-06,+562.16023256E-03
-14.73400E-06,+562.03528056E-03
-14.70900E-06,+560.81921109E-03
-14.68400E-06,+559.02101979E-03
-14.65900E-06,+557.91970098E-03
-14.63400E-06,+557.09270024E-03
-14.60900E-06,+556.65285569E-03
-14.58400E-06,+554.30910566E-03
-14.55900E-06,+553.29928831E-03
-14.53400E-06,+551.61183629E-03
-14.50900E-06,+551.03282702E-03
-14.48400E-06,+550.17620080E-03
-14.45900E-06,+548.63694998E-03
-14.43400E-06,+548.64853766E-03
-14.40900E-06,+545.66652740E-03
-14.38400E-06,+545.18284466E-03
-14.35900E-06,+543.29836331E-03
-14.33400E-06,+542.51711329E-03
-14.30900E-06,+540.17336326E-03
-14.28400E-06,+539.39211325E-03
-14.25900E-06,+538.73193510E-03
-14.23400E-06,+538.32041991E-03
-14.20900E-06,+536.24269914E-03
-14.18400E-06,+535.19613238E-03
-14.15900E-06,+534.01928619E-03
-14.13400E-06,+532.31203502E-03
-14.10900E-06,+531.53078501E-03
-14.08400E-06,+529.40444002E-03
-14.05900E-06,+529.96828498E-03
-14.03400E-06,+527.89697564E-03
-14.00900E-06,+527.16267638E-03
-13.98400E-06,+525.99067011E-03
-13.95900E-06,+524.37270553E-03
-13.93400E-06,+523.09116000E-03
-13.90900E-06,+522.88820675E-03
-13.88400E-06,+520.21606396E-03
-13.85900E-06,+519.55340842E-03
-13.83400E-06,+518.25478138E-03
-13.80900E-06,+516.61379260E-03
-13.78400E-06,+517.22362736E-03
-13.75900E-06,+515.53617534E-03
-13.73400E-06,+514.24562850E-03
-13.70900E-06,+512.44814971E-03
-13.68400E-06,+511.34068198E-03
-13.65900E-06,+510.35430368E-03
-13.63400E-06,+508.89234159E-03
-13.60900E-06,+508.23604358E-03
-13.58400E-06,+506.40702679E-03
-13.55900E-06,+506.40871432E-03
-13.53400E-06,+504.68023547E-03
-13.50900E-06,+503.27591298E-03
