x-axis,1,2,F1
second,Volt,Volt,Volt
-15.00900E-06,,,
-14.98400E-06,+9.97781558994E+00,+18.64946437275E+00,+8.67187042206E+00
-14.95900E-06,+9.97973531916E+00,+18.65044164970E+00,+8.67091944081E+00
-14.93400E-06,+9.98080335134E+00,+18.65213758137E+00,+8.67154420082E+00
-14.90900E-06,+9.98347655996E+00,+18.65144316071E+00,+8.66819340965E+00
-14.88400E-06,+9.98665208818E+00,+18.65274494034E+00,+8.66630461573E+00
-14.85900E-06,+9.98822243995E+00,+18.65224574893E+00,+8.66424542025E+00
-14.83400E-06,+9.99135688711E+00,+18.65421025274E+00,+8.66306916821E+00
-14.80900E-06,+9.99293349526E+00,+18.65460127659E+00,+8.66187725616E+00
-14.78400E-06,+9.99192259968E+00,+18.65589190027E+00,+8.66418733300E+00
-14.75900E-06,+9.99453241533E+00,+18.65461556074E+00,+8.66030054341E+00
-14.73400E-06,+9.99651938181E+00,+18.65695680425E+00,+8.66065304905E+00
-14.70900E-06,+10.00016240495E+00,+18.65695680425E+00,+8.65702087565E+00
-14.68400E-06,+10.00247613546E+00,+18.65810443568E+00,+8.65585482846E+00
-14.65900E-06,+10.00354416763E+00,+18.65901519147E+00,+8.65568706835E+00
-14.63400E-06,+10.00549630943E+00,+18.65774198013E+00,+8.65245342789E+00
-14.60900E-06,+10.00568023197E+00,+18.66009750779E+00,+8.65463715935E+00
-14.58400E-06,+10.01145931946E+00,+18.66064388588E+00,+8.64940762911E+00
-14.55900E-06,+10.01177771651E+00,+18.66105232207E+00,+8.64949083826E+00
-14.53400E-06,+10.01177771651E+00,+18.66245303545E+00,+8.65089092787E+00
-14.50900E-06,+10.01491842006E+00,+18.66121152060E+00,+8.64650620648E+00
-14.48400E-06,+10.01805912360E+00,+18.66108594070E+00,+8.64325625443E+00
-14.45900E-06,+10.01821447784E+00,+18.66331588845E+00,+8.64532047499E+00
-14.43400E-06,+10.01815492915E+00,+18.66254884100E+00,+8.64461651371E+00
-14.40900E-06,+10.02207624821E+00,+18.66323821133E+00,+8.64138170488E+00
-14.38400E-06,+10.02277017891E+00,+18.66402338722E+00,+8.64146709960E+00
-14.35900E-06,+10.02434053068E+00,+18.66438392063E+00,+8.64026333032E+00
-14.33400E-06,+10.02591088245E+00,+18.66425834073E+00,+8.63857587830E+00
-14.30900E-06,+10.02748123423E+00,+18.66526561816E+00,+8.63801221849E+00
-14.28400E-06,+10.02908399858E+00,+18.66711547189E+00,+8.63826096935E+00
-14.25900E-06,+10.03005479301E+00,+18.66623712868E+00,+8.63640157590E+00
-14.23400E-06,+10.03479826090E+00,+18.66637891487E+00,+8.63179407985E+00
-14.20900E-06,+10.03611745287E+00,+18.66755703675E+00,+8.63165371510E+00
-14.18400E-06,+10.03639959307E+00,+18.66716409076E+00,+8.63098200434E+00
-14.15900E-06,+10.03847369662E+00,+18.66730516086E+00,+8.62905863604E+00
-14.13400E-06,+10.04004404839E+00,+18.66793377645E+00,+8.62809719447E+00
-14.10900E-06,+10.04004404839E+00,+18.66851426313E+00,+8.62869576968E+00
-14.08400E-06,+10.04271341273E+00,+18.66794926664E+00,+8.62545658968E+00
-14.05900E-06,+10.04475510371E+00,+18.66958229530E+00,+8.62504997067E+00
-14.03400E-06,+10.04475510371E+00,+18.66892292545E+00,+8.62438462095E+00
-14.00900E-06,+10.04824134042E+00,+18.66951961842E+00,+8.62149438755E+00
-13.98400E-06,+10.04484947708E+00,+18.66956680510E+00,+8.62494065642E+00
-13.95900E-06,+10.05229328970E+00,+18.66951961842E+00,+8.61744072146E+00
-13.93400E-06,+10.05144445702E+00,+18.67088599707E+00,+8.61966049100E+00
-13.90900E-06,+10.05285900228E+00,+18.67043086416E+00,+8.61779233647E+00
-13.88400E-06,+10.05442739422E+00,+18.67175005613E+00,+8.61754439773E+00
