x-axis,F1
second,Volt
-15.80000E-06,
-15.77500E-06,-26.13086463E-03
-15.75000E-06,-27.43709434E-03
-15.72500E-06,-27.45613000E-03
-15.70000E-06,-28.63940959E-03
-15.67500E-06,-28.80165125E-03
-15.65000E-06,-29.64648968E-03
-15.62500E-06,-29.64668188E-03
-15.60000E-06,-30.65356978E-03
-15.57500E-06,-31.33474123E-03
-15.55000E-06,-31.63688416E-03
-15.52500E-06,-32.84211743E-03
-15.50000E-06,-32.66162645E-03
-15.47500E-06,-32.66162645E-03
-15.45000E-06,-33.66260303E-03
-15.42500E-06,-33.94370372E-03
-15.40000E-06,-34.22751149E-03
-15.37500E-06,-33.66260303E-03
-15.35000E-06,-34.54903548E-03
-15.32500E-06,-35.21126679E-03
-15.30000E-06,-35.21009959E-03
-15.27500E-06,-35.17017141E-03
-15.25000E-06,-35.57619246E-03
-15.22500E-06,-35.95635246E-03
-15.20000E-06,-36.53688812E-03
-15.17500E-06,-35.73756751E-03
-15.15000E-06,-36.63925363E-03
-15.12500E-06,-36.27654196E-03
-15.10000E-06,-36.85926467E-03
-15.07500E-06,-36.67773979E-03
-15.05000E-06,-37.68481988E-03
-15.02500E-06,-36.75973602E-03
-15.00000E-06,-37.68385893E-03
-14.97500E-06,-37.26341802E-03
-14.95000E-06,-36.99794804E-03
-14.92500E-06,-37.70694582E-03
-14.90000E-06,-37.68481988E-03
-14.87500E-06,-37.58360752E-03
-14.85000E-06,-38.62814690E-03
-14.82500E-06,-36.73734026E-03
-14.80000E-06,-37.04370756E-03
-14.77500E-06,-36.96268400E-03
-14.75000E-06,-37.38579537E-03
-14.72500E-06,-37.94247538E-03
-14.70000E-06,-37.30894316E-03
-14.67500E-06,-38.10795146E-03
-14.65000E-06,-37.44592055E-03
-14.62500E-06,-36.98313443E-03
-14.60000E-06,-37.12377867E-03
-14.57500E-06,-37.32595203E-03
-14.55000E-06,-38.56800297E-03
-14.52500E-06,-36.23289976E-03
-14.50000E-06,-37.28285329E-03
-14.47500E-06,-37.36290066E-03
-14.45000E-06,-36.41912334E-03
-14.42500E-06,-37.68481988E-03
-14.40000E-06,-37.60304279E-03
-14.37500E-06,-37.68309017E-03
-14.35000E-06,-38.26458093E-03
-14.32500E-06,-37.68481988E-03
-14.30000E-06,-38.42662805E-03
-14.27500E-06,-37.36636010E-03
-14.25000E-06,-38.58867518E-03
-14.22500E-06,-37.25040033E-03
-14.20000E-06,-38.63307765E-03
-14.17500E-06,-38.83006098E-03
-14.15000E-06,-38.69189998E-03
-14.12500E-06,-39.28841148E-03
-14.10000E-06,-38.06312301E-03
-14.07500E-06,-39.23452605E-03
-14.05000E-06,-38.65352807E-03
-14.02500E-06,-39.96211592E-03
-14.00000E-06,-38.69189998E-03
