x-axis,F1
second,Volt
-15.80000E-06,
-15.77500E-06,+70.59515474E-03
-15.75000E-06,+69.09513072E-03
-15.72500E-06,+69.09513072E-03
-15.70000E-06,+70.65763074E-03
-15.67500E-06,+69.09513072E-03
-15.65000E-06,+70.40712673E-03
-15.62500E-06,+70.65642603E-03
-15.60000E-06,+70.40832675E-03
-15.57500E-06,+70.15842274E-03
-15.55000E-06,+71.41259517E-03
-15.52500E-06,+70.22650098E-03
-15.50000E-06,+73.49101498E-03
-15.47500E-06,+70.72180423E-03
-15.45000E-06,+72.04465491E-03
-15.42500E-06,+71.79279853E-03
-15.40000E-06,+73.99211324E-03
-15.37500E-06,+73.80704485E-03
-15.35000E-06,+73.42744619E-03
-15.32500E-06,+73.80704485E-03
-15.30000E-06,+72.47960386E-03
-15.27500E-06,+75.36954487E-03
-15.25000E-06,+74.43000482E-03
-15.22500E-06,+73.11202102E-03
-15.20000E-06,+74.92981283E-03
-15.17500E-06,+73.99687289E-03
-15.15000E-06,+73.80704485E-03
-15.12500E-06,+75.68194655E-03
-15.10000E-06,+73.35647982E-03
-15.07500E-06,+74.55975690E-03
-15.05000E-06,+74.86673682E-03
-15.02500E-06,+75.36954487E-03
-15.00000E-06,+75.36954487E-03
-14.97500E-06,+75.36954487E-03
-14.95000E-06,+75.36954487E-03
-14.92500E-06,+74.62283291E-03
-14.90000E-06,+76.37394689E-03
-14.87500E-06,+74.75992222E-03
-14.85000E-06,+76.87765965E-03
-14.82500E-06,+75.55480897E-03
-14.80000E-06,+73.80704485E-03
-14.77500E-06,+74.68590892E-03
-14.75000E-06,+74.43600492E-03
-14.72500E-06,+75.36954487E-03
-14.70000E-06,+78.51895898E-03
-14.67500E-06,+76.70180468E-03
-14.65000E-06,+76.57070024E-03
-14.62500E-06,+75.36954487E-03
-14.60000E-06,+77.82151637E-03
-14.57500E-06,+76.05653361E-03
-14.55000E-06,+76.75052207E-03
-14.52500E-06,+75.25374243E-03
-14.50000E-06,+74.11462477E-03
-14.47500E-06,+73.91350026E-03
-14.45000E-06,+74.61443278E-03
-14.42500E-06,+74.86433678E-03
-14.40000E-06,+76.43164919E-03
-14.37500E-06,+73.80704485E-03
-14.35000E-06,+75.36954487E-03
-14.32500E-06,+73.80704485E-03
-14.30000E-06,+76.86979859E-03
-14.27500E-06,+74.80126077E-03
-14.25000E-06,+75.05116477E-03
-14.22500E-06,+75.30106877E-03
-14.20000E-06,+75.36954487E-03
-14.17500E-06,+74.93821296E-03
-14.15000E-06,+76.25769386E-03
-14.12500E-06,+75.36954487E-03
-14.10000E-06,+74.60365253E-03
-14.07500E-06,+76.81167207E-03
-14.05000E-06,+76.82497541E-03
-14.02500E-06,+76.20486313E-03
-14.00000E-06,+76.94425193E-03
