x-axis,F1
second,Volt
-25.00000E-06,-31.27993192E-03
-24.97500E-06,-32.51284209E-03
-24.95000E-06,-32.11846234E-03
-24.92500E-06,-32.52451357E-03
-24.90000E-06,-31.72408258E-03
-24.87500E-06,-32.51284209E-03
-24.85000E-06,-32.46307118E-03
-24.82500E-06,-31.27993192E-03
-24.80000E-06,-31.62454076E-03
-24.77500E-06,-32.51284209E-03
-24.75000E-06,-32.01892051E-03
-24.72500E-06,-31.57666362E-03
-24.70000E-06,-32.51284209E-03
-24.67500E-06,-31.27993192E-03
-24.65000E-06,-32.51284209E-03
-24.62500E-06,-32.51284209E-03
-24.60000E-06,-32.00144816E-03
-24.57500E-06,-31.62643454E-03
-24.55000E-06,-32.37239941E-03
-24.52500E-06,-32.51284209E-03
-24.50000E-06,-32.26777508E-03
-24.47500E-06,-31.72218880E-03
-24.45000E-06,-31.91138226E-03
-24.42500E-06,-31.67620545E-03
-24.40000E-06,-30.50660449E-03
-24.37500E-06,-32.51284209E-03
-24.35000E-06,-32.32914774E-03
-24.32500E-06,-31.72234408E-03
-24.30000E-06,-31.90781971E-03
-24.27500E-06,-32.09329533E-03
-24.25000E-06,-31.59956477E-03
-24.22500E-06,-31.40432727E-03
-24.20000E-06,-32.57387725E-03
-24.17500E-06,-31.69249595E-03
-24.15000E-06,-32.39556482E-03
-24.12500E-06,-32.08297095E-03
-24.10000E-06,-32.57387725E-03
-24.07500E-06,-31.50961899E-03
-24.05000E-06,-33.79458039E-03
-24.02500E-06,-32.63491241E-03
-24.00000E-06,-33.09592955E-03
-23.97500E-06,-33.31543112E-03
-23.95000E-06,-33.85561555E-03
-23.92500E-06,-33.85561555E-03
-23.90000E-06,-35.04254237E-03
-23.87500E-06,-32.69594756E-03
-23.85000E-06,-33.92885774E-03
-23.82500E-06,-33.36297367E-03
-23.80000E-06,-33.92885774E-03
-23.77500E-06,-34.75954526E-03
-23.75000E-06,-33.98610533E-03
-23.72500E-06,-33.79649058E-03
-23.70000E-06,-33.98989289E-03
-23.67500E-06,-32.83022491E-03
-23.65000E-06,-33.98989289E-03
-23.62500E-06,-35.21059604E-03
-23.60000E-06,-32.88060169E-03
-23.57500E-06,-33.90871874E-03
-23.55000E-06,-34.05092805E-03
-23.52500E-06,-33.54487796E-03
-23.50000E-06,-34.05092805E-03
-23.47500E-06,-34.97408737E-03
-23.45000E-06,-34.05092805E-03
-23.42500E-06,-34.14385923E-03
-23.40000E-06,-34.33909673E-03
-23.37500E-06,-33.83390212E-03
-23.35000E-06,-34.11196321E-03
-23.32500E-06,-34.98584439E-03
-23.30000E-06,-34.11196321E-03
-23.27500E-06,-34.11196321E-03
-23.25000E-06,-35.09377581E-03
-23.22500E-06,-34.11196321E-03
-23.20000E-06,-34.70330080E-03
-23.17500E-06,-34.11196321E-03
-23.15000E-06,-34.11196321E-03
-23.12500E-06,-34.11196321E-03
-23.10000E-06,-34.11196321E-03
-23.07500E-06,-34.94781644E-03
-23.05000E-06,-35.33266635E-03
-23.02500E-06,-35.33266635E-03
-23.00000E-06,-34.11196321E-03
-22.97500E-06,-34.11196321E-03
-22.95000E-06,-34.11196321E-03
-22.92500E-06,-34.44753499E-03
-22.90000E-06,-33.60769439E-03
-22.87500E-06,-33.64203967E-03
-22.85000E-06,-34.11196321E-03
-22.82500E-06,-34.16778930E-03
-22.80000E-06,-34.11196321E-03
-22.77500E-06,-35.04637270E-03
-22.75000E-06,-34.11196321E-03
-22.72500E-06,-34.78873186E-03
-22.70000E-06,-34.98396936E-03
-22.67500E-06,-34.26542270E-03
-22.65000E-06,-34.11196321E-03
-22.62500E-06,-35.33266635E-03
-22.60000E-06,-34.11196321E-03
-22.57500E-06,-34.70517583E-03
-22.55000E-06,-34.11196321E-03
-22.52500E-06,-35.07903045E-03
-22.50000E-06,-35.27200620E-03
-22.47500E-06,-34.29970059E-03
-22.45000E-06,-34.49493809E-03
-22.42500E-06,-35.88775024E-03
-22.40000E-06,-36.52690403E-03
-22.37500E-06,-35.33266635E-03
-22.35000E-06,-35.39001239E-03
-22.32500E-06,-35.47251019E-03
-22.30000E-06,-35.66970007E-03
-22.27500E-06,-36.03135293E-03
-22.25000E-06,-36.75204299E-03
-22.22500E-06,-36.56557653E-03
-22.20000E-06,-36.56557653E-03
-22.17500E-06,-37.69709855E-03
-22.15000E-06,-36.56557653E-03
-22.12500E-06,-36.56557653E-03
-22.10000E-06,-36.56557653E-03
-22.07500E-06,-36.56557653E-03
-22.05000E-06,-37.78627967E-03
-22.02500E-06,-36.56557653E-03
-22.00000E-06,-36.33984166E-03
-21.97500E-06,-37.35590168E-03
-21.95000E-06,-35.99429238E-03
-21.92500E-06,-36.96542668E-03
-21.90000E-06,-37.53086249E-03
-21.87500E-06,-37.75533874E-03
-21.85000E-06,-146.06569071E-03
-21.82500E-06,-66.28791327E-03
-21.80000E-06,-17.07938848E-03
-21.77500E-06,-1.31650557E-03
-21.75000E-06,-2.85311553E-03
-21.72500E-06,+108.61351432E-03
-21.70000E-06,+352.11043226E-03
-21.67500E-06,+412.53110985E-03
-21.65000E-06,+412.53110985E-03
-21.62500E-06,+404.89552351E-03
-21.60000E-06,+206.43217795E-03
-21.57500E-06,+108.53164524E-03
-21.55000E-06,+93.85704558E-03
-21.52500E-06,+92.20889477E-03
-21.50000E-06,+91.99283975E-03
-21.47500E-06,+89.18532096E-03
-21.45000E-06,+86.71966467E-03
-21.42500E-06,+85.49539546E-03
-21.40000E-06,+84.76721993E-03
-21.37500E-06,+82.24912491E-03
-21.35000E-06,+81.10596071E-03
-21.32500E-06,+79.37932876E-03
-21.30000E-06,+79.29679345E-03
-21.27500E-06,+78.11948378E-03
-21.25000E-06,+77.86398047E-03
-21.22500E-06,+76.40749171E-03
-21.20000E-06,+75.00123794E-03
-21.17500E-06,+75.47413516E-03
-21.15000E-06,+74.60385872E-03
-21.12500E-06,+74.21067665E-03
-21.10000E-06,+73.06274635E-03
-21.07500E-06,+73.00651654E-03
-21.05000E-06,+72.97276366E-03
-21.02500E-06,+73.69017651E-03
-21.00000E-06,+72.09980358E-03
-20.97500E-06,+73.04149054E-03
-20.95000E-06,+72.94271806E-03
-20.92500E-06,+71.75168492E-03
-20.90000E-06,+72.45453407E-03
-20.87500E-06,+71.33175554E-03
-20.85000E-06,+71.82405991E-03
-20.82500E-06,+73.36189626E-03
-20.80000E-06,+72.17135121E-03
-20.77500E-06,+73.00654525E-03
-20.75000E-06,+72.87046026E-03
-20.72500E-06,+72.22102310E-03
-20.70000E-06,+72.46210040E-03
-20.67500E-06,+73.46860480E-03
-20.65000E-06,+74.23680460E-03
-20.62500E-06,+73.02915167E-03
-20.60000E-06,+74.01481980E-03
-20.57500E-06,+73.81040168E-03
-20.55000E-06,+74.75455840E-03
-20.52500E-06,+74.51565087E-03
-20.50000E-06,+75.73905581E-03
-20.47500E-06,+76.36030306E-03
-20.45000E-06,+75.91397385E-03
-20.42500E-06,+76.78662161E-03
-20.40000E-06,+76.89878063E-03
-20.37500E-06,+76.67836031E-03
-20.35000E-06,+76.73555458E-03
-20.32500E-06,+77.24538228E-03
-20.30000E-06,+78.11858318E-03
-20.27500E-06,+78.97767682E-03
-20.25000E-06,+78.92372283E-03
-20.22500E-06,+79.87413863E-03
-20.20000E-06,+78.41549477E-03
-20.17500E-06,+79.38512612E-03
-20.15000E-06,+79.09776019E-03
-20.12500E-06,+79.30102457E-03
-20.10000E-06,+80.53261637E-03
-20.07500E-06,+80.05783357E-03
-20.05000E-06,+79.60745839E-03
-20.02500E-06,+80.34727199E-03
-20.00000E-06,+79.90021034E-03
-19.97500E-06,+80.82624959E-03
-19.95000E-06,+81.81257398E-03
-19.92500E-06,+81.56598819E-03
-19.90000E-06,+80.59175013E-03
-19.87500E-06,+81.08502365E-03
-19.85000E-06,+82.07134804E-03
-19.82500E-06,+80.78950544E-03
-19.80000E-06,+80.42177045E-03
-19.77500E-06,+80.70556386E-03
-19.75000E-06,+80.44661577E-03
-19.72500E-06,+78.85229121E-03
-19.70000E-06,+80.80304609E-03
-19.67500E-06,+80.50393895E-03
-19.65000E-06,+80.26012235E-03
-19.62500E-06,+80.06040177E-03
-19.60000E-06,+81.07033396E-03
-19.57500E-06,+80.48357964E-03
-19.55000E-06,+80.65040458E-03
-19.52500E-06,+80.43245109E-03
-19.50000E-06,+81.43979633E-03
-19.47500E-06,+81.21679959E-03
-19.45000E-06,+82.19709810E-03
-19.42500E-06,+81.20422048E-03
-19.40000E-06,+81.56948043E-03
-19.37500E-06,+82.75731196E-03
-19.35000E-06,+82.52293320E-03
-19.32500E-06,+83.93667010E-03
-19.30000E-06,+83.26267181E-03
-19.27500E-06,+84.64458945E-03
-19.25000E-06,+85.16207840E-03
-19.22500E-06,+87.24191737E-03
-19.20000E-06,+87.98035517E-03
-19.17500E-06,+87.98677422E-03
-19.15000E-06,+89.57815029E-03
-19.12500E-06,+90.82387044E-03
-19.10000E-06,+91.91010287E-03
-19.07500E-06,+93.99506009E-03
-19.05000E-06,+96.08400761E-03
-19.02500E-06,+97.88993106E-03
-19.00000E-06,+99.01702157E-03
-18.97500E-06,+102.26164678E-03
-18.95000E-06,+104.28556884E-03
-18.92500E-06,+106.30784380E-03
-18.90000E-06,+108.26169716E-03
-18.87500E-06,+111.45504909E-03
-18.85000E-06,+113.01553814E-03
-18.82500E-06,+115.38813961E-03
-18.80000E-06,+116.12787822E-03
