x-axis,F1
second,Volt
-13.26000E-06,
-13.25000E-06,+1.83105469E-03
-13.24000E-06,+2.54443283E-03
-13.23000E-06,+1.00060155E-03
-13.22000E-06,+102.08904E-06
-13.21000E-06,+1.05055472E-03
-13.20000E-06,-2.31746086E-03
-13.19000E-06,-1.53696089E-03
-13.18000E-06,-250.07348E-06
-13.17000E-06,+610.35156E-06
-13.16000E-06,+610.35156E-06
-13.15000E-06,+25.91412E-06
-13.14000E-06,+79.29516E-06
-13.13000E-06,+1.83105469E-03
-13.12000E-06,-2.61717988E-03
-13.11000E-06,-1.29657042E-03
-13.10000E-06,+2.31652332E-03
-13.09000E-06,+2.12265815E-03
-13.08000E-06,+334.36396E-06
-13.07000E-06,+490.46395E-06
-13.06000E-06,-366.21094E-06
-13.05000E-06,+418.03918E-06
-13.04000E-06,-1.15139860E-03
-13.03000E-06,-1.54633627E-03
-13.02000E-06,-761.14861E-06
-13.01000E-06,-153.30203E-06
-13.00000E-06,-363.39832E-06
-12.99000E-06,-1.58691406E-03
-12.98000E-06,-1.20135177E-03
-12.97000E-06,+17.79856E-06
-12.96000E-06,+811.10178E-06
-12.95000E-06,+216.35143E-06
-12.94000E-06,-664.99242E-06
-12.93000E-06,-610.35156E-06
-12.92000E-06,-3.42422388E-03
-12.91000E-06,-1.69306089E-03
-12.90000E-06,-524.50829E-06
-12.89000E-06,-1.83105469E-03
-12.88000E-06,-1.83105469E-03
-12.87000E-06,+293.78617E-06
-12.86000E-06,-1.03121801E-03
-12.85000E-06,-610.35156E-06
-12.84000E-06,-3.18286657E-03
-12.83000E-06,-1.30969594E-03
-12.82000E-06,-2.14014908E-03
-12.81000E-06,-1.79047689E-03
-12.80000E-06,-2.81605503E-03
-12.79000E-06,-1.40022691E-03
-12.78000E-06,-1.83105469E-03
-12.77000E-06,-1.83105469E-03
-12.76000E-06,-1.83105469E-03
-12.75000E-06,-3.05175781E-03
-12.74000E-06,-2.86600820E-03
-12.73000E-06,-381.82680E-06
-12.72000E-06,-3.69646134E-03
-12.71000E-06,-237.59251E-06
-12.70000E-06,-3.05175781E-03
-12.69000E-06,-4.27246094E-03
-12.68000E-06,-3.43169488E-03
-12.67000E-06,-589.75504E-06
-12.66000E-06,-5.04264799E-03
-12.65000E-06,-2.79636674E-03
-12.64000E-06,-854.49219E-06
-12.63000E-06,-3.40518015E-03
-12.62000E-06,-3.29589844E-03
-12.61000E-06,-2.73396190E-03
-12.60000E-06,-3.02738184E-03
-12.59000E-06,-3.17416505E-03
-12.58000E-06,-2.94153856E-03
-12.57000E-06,+122.07031E-06
-12.56000E-06,-3.33178854E-03
-12.55000E-06,-854.49219E-06
-12.54000E-06,-3.29589844E-03
-12.53000E-06,-1.59564488E-03
-12.52000E-06,-4.19315112E-03
-12.51000E-06,-3.54003906E-03
-12.50000E-06,-4.51660156E-03
-12.49000E-06,-4.51660156E-03
-12.48000E-06,-3.37113582E-03
-12.47000E-06,-2.85446476E-03
-12.46000E-06,-2.98372775E-03
-12.45000E-06,-2.26750769E-03
-12.44000E-06,-2.31933594E-03
-12.43000E-06,-5.60619593E-03
-12.42000E-06,-2.31933594E-03
-12.41000E-06,-2.31933594E-03
-12.40000E-06,-4.76074219E-03
-12.39000E-06,-2.31933594E-03
-12.38000E-06,-3.54003906E-03
-12.37000E-06,-1.17978840E-03
-12.36000E-06,-2.31933594E-03
-12.35000E-06,-3.54003906E-03
-12.34000E-06,-2.20697793E-03
-12.33000E-06,-4.76074219E-03
-12.32000E-06,-4.59681961E-03
-12.31000E-06,-1.36773537E-03
-12.30000E-06,-1.97649019E-03
-12.29000E-06,-5.55999291E-03
-12.28000E-06,-4.89401900E-03
-12.27000E-06,-2.72833667E-03
-12.26000E-06,-5.98144531E-03
-12.25000E-06,-4.98238191E-03
-12.24000E-06,-3.39893967E-03
-12.23000E-06,-4.94124745E-03
-12.22000E-06,-2.56347656E-03
-12.21000E-06,-4.69637438E-03
-12.20000E-06,-7.94795952E-03
-12.19000E-06,-3.92158753E-03
-12.18000E-06,-3.53133754E-03
-12.17000E-06,-4.68333675E-03
-12.16000E-06,-5.19224382E-03
-12.15000E-06,-4.29308676E-03
-12.14000E-06,-5.31866490E-03
-12.13000E-06,-2.44481947E-03
-12.12000E-06,-6.14911804E-03
-12.11000E-06,-5.68240015E-03
-12.10000E-06,-4.25089757E-03
-12.09000E-06,-680.93056E-06
-12.08000E-06,-4.64114756E-03
-12.07000E-06,-1.51138370E-03
-12.06000E-06,-1.39580290E-03
-12.05000E-06,-4.78324309E-03
-12.04000E-06,-3.78417969E-03
-12.03000E-06,-363.74990E-06
-12.02000E-06,-3.94558263E-03
-12.01000E-06,-2.76390450E-03
-12.00000E-06,-7.39941219E-03
-11.99000E-06,-5.88221283E-03
-11.98000E-06,-3.49073045E-03
-11.97000E-06,-5.56681935E-03
-11.96000E-06,-4.54124122E-03
-11.95000E-06,-4.02832031E-03
-11.94000E-06,-2.86633047E-03
-11.93000E-06,-3.90658693E-03
-11.92000E-06,-3.37796227E-03
-11.91000E-06,-3.72918725E-03
-11.90000E-06,-3.00113079E-03
-11.89000E-06,-4.60156590E-03
-11.88000E-06,-4.15166509E-03
-11.87000E-06,-3.95654010E-03
-11.86000E-06,-7.23276490E-03
-11.85000E-06,-3.56629011E-03
-11.84000E-06,-4.02832031E-03
-11.83000E-06,-4.02832031E-03
-11.82000E-06,-2.98091514E-03
-11.81000E-06,-4.05014736E-03
-11.80000E-06,-5.03207140E-03
-11.79000E-06,-5.23349547E-03
-11.78000E-06,-2.19411608E-03
-11.77000E-06,-4.41227122E-03
-11.76000E-06,-4.25157143E-03
-11.75000E-06,-6.46972656E-03
-11.74000E-06,-5.24902344E-03
-11.73000E-06,-4.02832031E-03
-11.72000E-06,-4.02832031E-03
-11.71000E-06,-4.49664959E-03
-11.70000E-06,-6.19652227E-03
-11.69000E-06,-7.61235039E-03
-11.68000E-06,-4.02832031E-03
-11.67000E-06,-2.08079124E-03
-11.66000E-06,-4.53561599E-03
-11.65000E-06,-4.02832031E-03
-11.64000E-06,-4.35147777E-03
-11.63000E-06,-4.15635278E-03
-11.62000E-06,-5.11483838E-03
-11.61000E-06,-6.46972656E-03
-11.60000E-06,-4.18099244E-03
-11.59000E-06,-3.42211442E-03
-11.58000E-06,-5.62213407E-03
-11.57000E-06,-5.42700907E-03
-11.56000E-06,-5.47602471E-03
-11.55000E-06,-5.46128779E-03
-11.54000E-06,-6.46972656E-03
-11.53000E-06,-5.95950108E-03
-11.52000E-06,-5.83161510E-03
-11.51000E-06,-2.28693230E-03
-11.50000E-06,-6.74011824E-03
-11.49000E-06,-6.71386719E-03
-11.48000E-06,-5.13572789E-03
-11.47000E-06,-6.58530736E-03
-11.46000E-06,-5.49316406E-03
-11.45000E-06,-5.49316406E-03
-11.44000E-06,-4.10692697E-03
-11.43000E-06,-5.60552207E-03
-11.42000E-06,-5.49316406E-03
-11.41000E-06,-4.77506893E-03
-11.40000E-06,-4.79543108E-03
