x-axis,F1
second,Volt
-28.72000E-06,+12.52683519E-03
-28.69500E-06,-6.44938249E-03
-28.67000E-06,-9.41798858E-03
-28.64500E-06,-9.69981731E-03
-28.62000E-06,+19.07726422E-03
-28.59500E-06,+6.67294466E-03
-28.57000E-06,-4.14860349E-03
-28.54500E-06,-17.49957882E-03
-28.52000E-06,-37.18287032E-03
-28.49500E-06,-60.26684513E-03
-28.47000E-06,-78.88595163E-03
-28.44500E-06,+1.48224051E-03
-28.42000E-06,+30.78731877E-03
-28.39500E-06,+85.36787175E-03
-28.37000E-06,+119.88839282E-03
-28.34500E-06,+130.87742802E-03
-28.32000E-06,+121.52445025E-03
-28.29500E-06,+131.16590139E-03
-28.27000E-06,+131.42455006E-03
-28.24500E-06,+142.61421347E-03
-28.22000E-06,+134.60610096E-03
-28.19500E-06,+146.87853560E-03
-28.17000E-06,+91.19034381E-03
-28.14500E-06,+101.12431135E-03
-28.12000E-06,+91.70794584E-03
-28.09500E-06,+97.36774734E-03
-28.07000E-06,+57.47832395E-03
-28.04500E-06,+50.57058452E-03
-28.02000E-06,+37.63905340E-03
-27.99500E-06,+16.99946144E-03
-27.97000E-06,+20.40186745E-03
-27.94500E-06,+23.20552949E-03
-27.92000E-06,+5.41632299E-03
-27.89500E-06,-74.62033E-06
-27.87000E-06,-4.08010630E-03
-27.84500E-06,-26.36944340E-03
-27.82000E-06,-16.43680010E-03
-27.79500E-06,-69.83652949E-03
-27.77000E-06,-14.59720816E-03
-27.74500E-06,+14.58207902E-03
-27.72000E-06,-43.64319243E-03
-27.69500E-06,+87.13616E-06
-27.67000E-06,-44.59353967E-03
-27.64500E-06,+4.10296994E-03
-27.62000E-06,-32.31078064E-03
-27.59500E-06,+20.47495846E-03
-27.57000E-06,+7.74289537E-03
-27.54500E-06,+5.75923082E-03
-27.52000E-06,-39.21775834E-03
-27.49500E-06,-5.38138884E-03
-27.47000E-06,-8.53047828E-03
-27.44500E-06,+384.14091E-06
-27.42000E-06,+19.54874051E-03
-27.39500E-06,+7.66067531E-03
-27.37000E-06,+482.52174965E-03
-27.34500E-06,+1.67683981577E+00
-27.32000E-06,+3.57366352432E+00
-27.29500E-06,+5.11741386886E+00
-27.27000E-06,+5.51566712372E+00
-27.24500E-06,+5.06323647077E+00
-27.22000E-06,+4.22612572934E+00
-27.19500E-06,+3.28423558097E+00
-27.17000E-06,+2.43136740383E+00
-27.14500E-06,+1.81620211197E+00
-27.12000E-06,+1.36271019203E+00
-27.09500E-06,+995.55250501E-03
-27.07000E-06,+658.04307361E-03
-27.04500E-06,+432.02154320E-03
-27.02000E-06,+277.43511670E-03
-26.99500E-06,+134.46452448E-03
-26.97000E-06,+84.49176398E-03
-26.94500E-06,+87.33454384E-03
-26.92000E-06,+42.26556101E-03
-26.89500E-06,+63.47258392E-03
-26.87000E-06,+80.24322725E-03
-26.84500E-06,+77.82929019E-03
-26.82000E-06,+23.65299368E-03
-26.79500E-06,+47.34603683E-03
-26.77000E-06,+28.77186074E-03
-26.74500E-06,+51.88111330E-03
-26.72000E-06,+56.16858034E-03
-26.69500E-06,+112.29206034E-03
-26.67000E-06,+45.93909635E-03
-26.64500E-06,+65.55046873E-03
-26.62000E-06,+71.56667827E-03
-26.59500E-06,+48.18070644E-03
-26.57000E-06,+62.34859719E-03
-26.54500E-06,+11.77732711E-03
-26.52000E-06,+49.71693024E-03
-26.49500E-06,+62.36376149E-03
-26.47000E-06,+78.02681288E-03
-26.44500E-06,+44.73333487E-03
-26.42000E-06,+55.28253491E-03
-26.39500E-06,+71.63192931E-03
-26.37000E-06,+85.50627240E-03
-26.34500E-06,+19.28473629E-03
-26.32000E-06,+62.67243831E-03
-26.29500E-06,+87.94429187E-03
-26.27000E-06,+56.30873883E-03
-26.24500E-06,+73.79768272E-03
-26.22000E-06,+64.07049583E-03
-26.19500E-06,+68.94382771E-03
-26.17000E-06,+91.73833305E-03
-26.14500E-06,+52.89950069E-03
-26.12000E-06,+54.17915007E-03
-26.09500E-06,+90.81035726E-03
-26.07000E-06,+92.85292119E-03
-26.04500E-06,+11.42887622E-03
-26.02000E-06,+54.71374456E-03
-25.99500E-06,+85.52414378E-03
-25.97000E-06,+58.98473477E-03
-25.94500E-06,+75.46293202E-03
-25.92000E-06,+53.29431169E-03
-25.89500E-06,+80.88946806E-03
-25.87000E-06,+61.49126316E-03
-25.84500E-06,+105.49938916E-03
-25.82000E-06,+80.17480037E-03
-25.79500E-06,+49.78552118E-03
-25.77000E-06,+69.88142474E-03
-25.74500E-06,+53.66248555E-03
-25.72000E-06,+58.31725925E-03
-25.69500E-06,+81.29188465E-03
-25.67000E-06,+42.55819460E-03
-25.64500E-06,+43.39002822E-03
-25.62000E-06,+80.66098394E-03
-25.59500E-06,+47.13919759E-03
-25.57000E-06,+82.13856617E-03
-25.54500E-06,+43.18650544E-03
-25.52000E-06,+99.46246054E-03
-25.49500E-06,+63.64161787E-03
-25.47000E-06,+73.56097190E-03
-25.44500E-06,+48.85254141E-03
-25.42000E-06,+52.02708439E-03
-25.39500E-06,+85.32501559E-03
-25.37000E-06,+70.10366267E-03
-25.34500E-06,+78.25581264E-03
-25.32000E-06,+39.49393854E-03
-25.29500E-06,+56.16477168E-03
-25.27000E-06,+51.63607032E-03
-25.24500E-06,+42.62828557E-03
-25.22000E-06,+62.34940579E-03
-25.19500E-06,+88.10102094E-03
-25.17000E-06,+61.13718718E-03
-25.14500E-06,+73.32617127E-03
-25.12000E-06,+80.28472401E-03
-25.09500E-06,+99.43195615E-03
-25.07000E-06,+72.66103953E-03
-25.04500E-06,+46.18645969E-03
-25.02000E-06,+80.59773683E-03
-24.99500E-06,+110.88462767E-03
-24.97000E-06,+35.94457707E-03
-24.94500E-06,+75.35684048E-03
-24.92000E-06,+28.86651460E-03
-24.89500E-06,+60.12920621E-03
-24.87000E-06,+93.92441881E-03
-24.84500E-06,+86.43467006E-03
-24.82000E-06,+98.91327597E-03
-24.79500E-06,+77.47807363E-03
-24.77000E-06,+80.55816198E-03
-24.74500E-06,+32.02835425E-03
-24.72000E-06,+40.69634841E-03
-24.69500E-06,+99.31392301E-03
-24.67000E-06,+91.73853227E-03
-24.64500E-06,+47.87033038E-03
-24.62000E-06,+87.96137809E-03
-24.59500E-06,+74.90500512E-03
-24.57000E-06,+81.27686098E-03
-24.54500E-06,+84.16057509E-03
-24.52000E-06,+77.57747366E-03
-24.49500E-06,+61.87634744E-03
-24.47000E-06,+58.69049569E-03
-24.44500E-06,+58.39397141E-03
-24.42000E-06,+57.25342582E-03
-24.39500E-06,+115.03277998E-03
-24.37000E-06,+90.04792319E-03
-24.34500E-06,+73.83865212E-03
-24.32000E-06,+66.84122766E-03
-24.29500E-06,+79.67533926E-03
-24.27000E-06,+54.90036864E-03
-24.24500E-06,+52.24665040E-03
-24.22000E-06,+34.69333439E-03
-24.19500E-06,+43.62056316E-03
-24.17000E-06,+54.44281444E-03
-24.14500E-06,+81.39811682E-03
-24.12000E-06,+11.01426021E-03
-24.09500E-06,+42.93211074E-03
-24.07000E-06,+3.25565561E-03
-24.04500E-06,+57.02559796E-03
-24.02000E-06,+19.70665320E-03
-23.99500E-06,+77.14620504E-03
-23.97000E-06,+29.65837492E-03
-23.94500E-06,+42.21822823E-03
-23.92000E-06,+41.62186322E-03
-23.89500E-06,+42.17525488E-03
-23.87000E-06,+63.12967609E-03
-23.84500E-06,+57.44019053E-03
-23.82000E-06,+40.75806033E-03
-23.79500E-06,+47.85524811E-03
-23.77000E-06,+76.38926715E-03
-23.74500E-06,+51.92789530E-03
-23.72000E-06,+74.28227250E-03
-23.69500E-06,+46.98617170E-03
-23.67000E-06,+50.02181011E-03
-23.64500E-06,+77.52772677E-03
-23.62000E-06,+69.20708192E-03
-23.59500E-06,+47.96695302E-03
-23.57000E-06,+47.65992857E-03
-23.54500E-06,+64.68276344E-03
-23.52000E-06,+76.72714756E-03
-23.49500E-06,+66.49142910E-03
-23.47000E-06,+45.19078360E-03
-23.44500E-06,+49.61863179E-03
-23.42000E-06,+3.44184609E-03
-23.39500E-06,+66.33063356E-03
-23.37000E-06,+56.42439303E-03
-23.34500E-06,-16.30960275E-03
-23.32000E-06,+94.71998232E-03
-23.29500E-06,+82.49377888E-03
-23.27000E-06,+60.73833314E-03
-23.24500E-06,+75.37198134E-03
-23.22000E-06,+80.37081132E-03
-23.19500E-06,+31.93380586E-03
-23.17000E-06,+40.76183383E-03
-23.14500E-06,+35.60595837E-03
-23.12000E-06,+24.30017201E-03
-23.09500E-06,+79.11564280E-03
-23.07000E-06,+56.18968615E-03
-23.04500E-06,+41.12289429E-03
-23.02000E-06,+58.21032394E-03
-22.99500E-06,+69.28363002E-03
-22.97000E-06,+56.28009775E-03
-22.94500E-06,+49.85019799E-03
-22.92000E-06,+36.29921555E-03
-22.89500E-06,+31.70252091E-03
-22.87000E-06,+70.58689306E-03
-22.84500E-06,+27.37700248E-03
-22.82000E-06,+28.60443228E-03
-22.79500E-06,+29.34695588E-03
-22.77000E-06,+48.24410589E-03
-22.74500E-06,+72.54092042E-03
-22.72000E-06,+52.81940175E-03
-22.69500E-06,+86.64638439E-03
-22.67000E-06,+26.77435612E-03
-22.64500E-06,+76.58033271E-03
-22.62000E-06,+43.54011266E-03
-22.59500E-06,+89.74832855E-03
-22.57000E-06,-12.76586636E-03
-22.54500E-06,+40.17418771E-03
-22.52000E-06,+97.31771919E-03
-22.49500E-06,+16.70563253E-03
-22.47000E-06,+63.91959107E-03
-22.44500E-06,+35.70772562E-03
-22.42000E-06,+40.56138141E-03
-22.39500E-06,+37.66260846E-03
-22.37000E-06,+50.46465704E-03
-22.34500E-06,-17.89692112E-03
-22.32000E-06,-20.26353711E-03
-22.29500E-06,+31.58639796E-03
-22.27000E-06,+28.68562108E-03
-22.24500E-06,+76.19700626E-03
-22.22000E-06,+60.47422345E-03
-22.19500E-06,+28.79460720E-03
-22.17000E-06,+13.17448228E-03
-22.14500E-06,+22.15677834E-03
-22.12000E-06,+38.21718374E-03
-22.09500E-06,+25.35453653E-03
-22.07000E-06,+25.75908597E-03
-22.04500E-06,+61.04207628E-03
-22.02000E-06,+45.43948289E-03
-21.99500E-06,+44.47304555E-03
-21.97000E-06,+58.29414950E-03
-21.94500E-06,+37.55505205E-03
-21.92000E-06,+71.54851392E-03
-21.89500E-06,+48.71951975E-03
-21.87000E-06,+30.79149071E-03
-21.84500E-06,+55.26801515E-03
-21.82000E-06,+43.13516477E-03
-21.79500E-06,+54.30083952E-03
-21.77000E-06,+52.52561971E-03
-21.74500E-06,+70.80344731E-03
-21.72000E-06,+55.30142584E-03
-21.69500E-06,+51.80985044E-03
-21.67000E-06,+37.31738028E-03
-21.64500E-06,+41.75033793E-03
-21.62000E-06,+35.56643039E-03
-21.59500E-06,+42.56667911E-03
-21.57000E-06,+50.54540052E-03
-21.54500E-06,+14.77341411E-03
-21.52000E-06,+73.14668402E-03
-21.49500E-06,+31.58734719E-03
-21.47000E-06,+49.41042142E-03
-21.44500E-06,+36.81102843E-03
-21.42000E-06,+64.67523988E-03
-21.39500E-06,+51.66775833E-03
-21.37000E-06,+35.00181198E-03
-21.34500E-06,+56.73339797E-03
-21.32000E-06,+40.94218828E-03
-21.29500E-06,+53.58886719E-03
-21.27000E-06,+60.45950446E-03
-21.24500E-06,+51.86083954E-03
-21.22000E-06,+67.32545416E-03
-21.19500E-06,+15.37051741E-03
-21.17000E-06,+56.16381073E-03
-21.14500E-06,+14.10359480E-03
-21.12000E-06,+57.91056524E-03
-21.09500E-06,+83.15703559E-03
-21.07000E-06,+34.46441667E-03
-21.04500E-06,+51.72689208E-03
-21.02000E-06,+56.36307954E-03
-20.99500E-06,+58.94416381E-03
